2025-01-18 12:05:05,499 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-18 12:05:08,609 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-18 12:05:08,611 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-01-18 12:05:08,822 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 198 ms. Found 1 JPA repository interface.
2025-01-18 12:05:08,832 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-18 12:05:08,842 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-01-18 12:05:08,919 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 6 JPA repository interfaces.
2025-01-18 12:05:08,922 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-18 12:05:08,923 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-01-18 12:05:08,939 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 1 JPA repository interface.
2025-01-18 12:05:08,941 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-18 12:05:08,941 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-01-18 12:05:09,345 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 403 ms. Found 53 JPA repository interfaces.
2025-01-18 12:05:10,751 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2025-01-18 12:05:10,769 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2025-01-18 12:05:12,597 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2025-01-18 12:05:12,644 [main] INFO  o.a.coyote.http11.Http11NioProtocol - The ["http-nio-0.0.0.0-9090"] connector has been configured to support HTTP upgrade to [h2c]
2025-01-18 12:05:12,645 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-01-18 12:05:12,655 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-01-18 12:05:12,656 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-01-18 12:05:12,761 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-18 12:05:12,761 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7023 ms
2025-01-18 12:05:13,878 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-18 12:05:14,114 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.10.Final
2025-01-18 12:05:14,252 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-18 12:05:14,607 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-01-18 12:05:14,943 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@77a6aa9f
2025-01-18 12:05:14,947 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-01-18 12:05:16,235 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-18 12:05:20,658 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-18 12:05:20,691 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-18 12:05:23,446 [main] INFO  o.t.s.d.a.CachedAttributesService - Going to use directExecutor for the local cache type caffeine
2025-01-18 12:05:25,851 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [public/index.html]
2025-01-18 12:05:29,239 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@58098663, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4a269062, org.springframework.security.web.context.SecurityContextHolderFilter@5b4932c8, org.springframework.security.web.header.HeaderWriterFilter@59ca58e2, org.springframework.security.web.csrf.CsrfFilter@4bcf8428, org.springframework.security.web.authentication.logout.LogoutFilter@2afb3317, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@78707c5b, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@38f2e385, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@5024d48a, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3e7d458a, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@37df48a4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e64b093, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38fd32ff, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69208ca6, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@34edbc4c, org.springframework.security.web.access.ExceptionTranslationFilter@50c54df7, org.springframework.security.web.access.intercept.AuthorizationFilter@34d9d307]
2025-01-18 12:05:29,526 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-01-18 12:05:30,126 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2025-01-18 12:05:30,127 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'application.errorChannel' has 1 subscriber(s).
2025-01-18 12:05:30,128 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - started bean '_org.springframework.integration.errorLogger'
